id,date,state_code,state_name,actual,rfs,normal,deviation
0,2009-01-01,5,Uttarakhand,0.0,0.003906,2.19,-2.19
1,2009-01-01,18,Assam,0.0,0.0,0.52,-0.52
2,2009-01-01,16,Tripura,0.0,0.0,0.09,-0.09
3,2009-01-01,36,Telangana,0.0,0.0,0.17,-0.17
4,2009-01-01,2,Himachal Pradesh,0.0,0.008566,3.31,-3.31
5,2009-01-01,1,Jammu And Kashmir,0.0,0.0,2.42,-2.42
6,2009-01-01,17,Meghalaya,0.0,0.0,0.0,0.0
7,2009-01-01,31,Lakshadweep,,,,
8,2009-01-01,27,Maharashtra,0.0,0.0,0.31,-0.31
9,2009-01-01,3,Punjab,0.0,0.0,0.4,-0.4
10,2009-01-01,20,Jharkhand,0.0,0.0,0.0,0.0
11,2009-01-01,28,Andhra Pradesh,0.0,0.0,0.45,-0.45
12,2009-01-01,12,Arunachal Pradesh,0.0,0.0,0.79,-0.79
13,2009-01-01,37,Ladakh,0.0,0.0,,
14,2009-01-01,35,Andaman And Nicobar Islands,,0.0,3.03,
15,2009-01-01,30,Goa,0.0,0.0,0.0,0.0
16,2009-01-01,9,Uttar Pradesh,0.07,0.564125,0.72,-0.6499999999999999
17,2009-01-01,6,Haryana,0.0,0.006446,0.94,-0.94
18,2009-01-01,23,Madhya Pradesh,0.0,0.013596,0.31,-0.31
19,2009-01-01,14,Manipur,0.0,0.0,0.06,-0.06
20,2009-01-01,29,Karnataka,0.01,0.088478,0.11,-0.1
21,2009-01-01,4,Chandigarh,0.0,0.0,1.2,-1.2
22,2009-01-01,19,West Bengal,0.04,0.103831,0.02,0.02
23,2009-01-01,8,Rajasthan,0.0,0.010813,0.15,-0.15
24,2009-01-01,22,Chhattisgarh,0.0,0.0,0.24,-0.24
25,2009-01-01,13,Nagaland,0.0,0.0,0.14,-0.14
26,2009-01-01,10,Bihar,0.0,0.0,0.14,-0.14
27,2009-01-01,34,Puducherry,0.0,0.0,8.4,-8.4
28,2009-01-01,24,Gujarat,0.0,0.0,0.01,-0.01
29,2009-01-01,21,Odisha,0.0,0.0,0.17,-0.17
30,2009-01-01,33,Tamil Nadu,0.0,0.0,1.21,-1.21
31,2009-01-01,32,Kerala,0.38,0.525378,0.21,0.17
32,2009-01-01,11,Sikkim,0.09,0.021218,1.1,-1.01
33,2009-01-01,7,Delhi,0.0,0.0,0.9,-0.9
34,2009-01-01,15,Mizoram,0.0,0.0,0.7,-0.7
35,2009-01-02,5,Uttarakhand,0.0,0.0,2.78,-2.78
36,2009-01-02,18,Assam,0.0,0.001168,0.14,-0.14
37,2009-01-02,16,Tripura,0.0,0.0,0.06,-0.06
38,2009-01-02,36,Telangana,0.0,0.0,0.17,-0.17
39,2009-01-02,2,Himachal Pradesh,0.0,0.0,2.33,-2.33
40,2009-01-02,1,Jammu And Kashmir,0.0,0.0,2.15,-2.15
41,2009-01-02,17,Meghalaya,0.0,0.0,0.0,0.0
42,2009-01-02,31,Lakshadweep,,,,
43,2009-01-02,27,Maharashtra,0.0,0.0,0.12,-0.12
44,2009-01-02,3,Punjab,0.0,0.0,0.51,-0.51
45,2009-01-02,20,Jharkhand,0.0,0.0,0.22,-0.22
46,2009-01-02,28,Andhra Pradesh,0.0,0.0,0.53,-0.53
47,2009-01-02,12,Arunachal Pradesh,0.0,0.0,0.59,-0.59
48,2009-01-02,37,Ladakh,0.0,0.0,,
49,2009-01-02,35,Andaman And Nicobar Islands,,0.0,3.36,
50,2009-01-02,30,Goa,0.0,0.0,0.0,0.0
51,2009-01-02,9,Uttar Pradesh,0.0,0.0,0.59,-0.59
52,2009-01-02,6,Haryana,0.0,0.0,0.73,-0.73
53,2009-01-02,23,Madhya Pradesh,0.0,0.0,0.45,-0.45
54,2009-01-02,14,Manipur,0.0,0.0,0.12,-0.12
55,2009-01-02,29,Karnataka,0.0,0.0,0.09,-0.09
56,2009-01-02,4,Chandigarh,0.0,0.0,0.6,-0.6
57,2009-01-02,19,West Bengal,0.2,0.573094,0.16,0.04000000000000001
58,2009-01-02,8,Rajasthan,0.0,0.0,0.15,-0.15
59,2009-01-02,22,Chhattisgarh,0.0,0.0,0.32,-0.32
60,2009-01-02,13,Nagaland,0.0,0.0,0.27,-0.27
61,2009-01-02,10,Bihar,0.0,0.0,0.32,-0.32
62,2009-01-02,34,Puducherry,0.0,0.0,1.0,-1.0
63,2009-01-02,24,Gujarat,0.0,0.0,0.09,-0.09
64,2009-01-02,21,Odisha,0.0,0.0,0.43,-0.43
65,2009-01-02,33,Tamil Nadu,0.04,0.205652,0.74,-0.7
66,2009-01-02,32,Kerala,0.0,0.0,0.34,-0.34
67,2009-01-02,11,Sikkim,9.4,2.285281,1.3,8.1
68,2009-01-02,7,Delhi,0.0,0.0,0.3,-0.3
69,2009-01-02,15,Mizoram,0.0,0.0,0.0,0.0
70,2009-01-03,5,Uttarakhand,0.0,0.0,1.34,-1.34
71,2009-01-03,18,Assam,0.02,0.058081,0.21,-0.19
72,2009-01-03,16,Tripura,0.0,0.0,0.05,-0.05
